number|Hosts|Subnet|Block|Netmask|Network Addr|Broadcast
39|1024|10.10.152.0/22|10.10.152.1 - 10.10.155.254|255.255.252.0|10.10.152.0|10.10.155.255
40|1024|10.10.156.0/22|10.10.156.1 - 10.10.159.254|255.255.252.0|10.10.156.0|10.10.159.255
41|1024|10.10.160.0/22|10.10.160.1 - 10.10.163.254|255.255.252.0|10.10.160.0|10.10.163.255
42|1024|10.10.164.0/22|10.10.164.1 - 10.10.167.254|255.255.252.0|10.10.164.0|10.10.167.255
43|1024|10.10.168.0/22|10.10.168.1 - 10.10.171.254|255.255.252.0|10.10.168.0|10.10.171.255
44|1024|10.10.172.0/22|10.10.172.1 - 10.10.175.254|255.255.252.0|10.10.172.0|10.10.175.255
45|1024|10.10.176.0/22|10.10.176.1 - 10.10.179.254|255.255.252.0|10.10.176.0|10.10.179.255
46|1024|10.10.180.0/22|10.10.180.1 - 10.10.183.254|255.255.252.0|10.10.180.0|10.10.183.255
47|1024|10.10.184.0/22|10.10.184.1 - 10.10.187.254|255.255.252.0|10.10.184.0|10.10.187.255
48|1024|10.10.188.0/22|10.10.188.1 - 10.10.191.254|255.255.252.0|10.10.188.0|10.10.191.255
49|1024|10.10.192.0/22|10.10.192.1 - 10.10.195.254|255.255.252.0|10.10.192.0|10.10.195.255
50|1024|10.10.196.0/22|10.10.196.1 - 10.10.199.254|255.255.252.0|10.10.196.0|10.10.199.255
51|1024|10.10.200.0/22|10.10.200.1 - 10.10.203.254|255.255.252.0|10.10.200.0|10.10.203.255
52|1024|10.10.204.0/22|10.10.204.1 - 10.10.207.254|255.255.252.0|10.10.204.0|10.10.207.255
53|1024|10.10.208.0/22|10.10.208.1 - 10.10.211.254|255.255.252.0|10.10.208.0|10.10.211.255
54|1024|10.10.212.0/22|10.10.212.1 - 10.10.215.254|255.255.252.0|10.10.212.0|10.10.215.255
55|1024|10.10.216.0/22|10.10.216.1 - 10.10.219.254|255.255.252.0|10.10.216.0|10.10.219.255
56|1024|10.10.220.0/22|10.10.220.1 - 10.10.223.254|255.255.252.0|10.10.220.0|10.10.223.255
57|1024|10.10.224.0/22|10.10.224.1 - 10.10.227.254|255.255.252.0|10.10.224.0|10.10.227.255
58|1024|10.10.228.0/22|10.10.228.1 - 10.10.231.254|255.255.252.0|10.10.228.0|10.10.231.255
59|1024|10.10.232.0/22|10.10.232.1 - 10.10.235.254|255.255.252.0|10.10.232.0|10.10.235.255
60|1024|10.10.236.0/22|10.10.236.1 - 10.10.239.254|255.255.252.0|10.10.236.0|10.10.239.255
61|1024|10.10.240.0/22|10.10.240.1 - 10.10.243.254|255.255.252.0|10.10.240.0|10.10.243.255
62|1024|10.10.244.0/22|10.10.244.1 - 10.10.247.254|255.255.252.0|10.10.244.0|10.10.247.255
63|1024|10.10.248.0/22|10.10.248.1 - 10.10.251.254|255.255.252.0|10.10.248.0|10.10.251.255
64|1024|10.10.252.0/22|10.10.252.1 - 10.10.255.254|255.255.252.0|10.10.252.0|10.10.255.255
